Date,Period,Market Index Data Provider Id,Volume,Price,,?/MWh
01-Jan-17,1,22674.5,505,44.9,1,44.9
01-Jan-17,2,26352.7395,559.15,47.13,1.02,47.13
01-Jan-17,3,29623.347,649.35,45.62,1.04,45.62
01-Jan-17,4,31392.2325,712.65,44.05,1.06,44.05
01-Jan-17,5,26859.8945,599.15,44.83,1.08,44.83
01-Jan-17,6,22723.143,499.3,45.51,1.1,45.51
01-Jan-17,7,21281.325,474.5,44.85,1.13,44.85
01-Jan-17,8,20843.6,487,42.8,1.15,42.8
01-Jan-17,9,14766.8205,348.85,42.33,1.17,42.33
01-Jan-17,10,10720.201,262.3,40.87,1.19,40.87
01-Jan-17,11,14182.495,341.5,41.53,1.21,41.53
01-Jan-17,12,14692.9175,350.75,41.89,1.23,41.89
01-Jan-17,13,19068.608,447.2,42.64,1.25,42.64
01-Jan-17,14,21347.61,501,42.61,1.27,42.61
01-Jan-17,15,47202.85,1157.5,40.78,1.29,40.78
01-Jan-17,16,39686.295,1006.5,39.43,1.31,39.43
01-Jan-17,17,41085.17,1073,38.29,1.33,38.29
01-Jan-17,18,41680.31,1069,38.99,1.35,38.99
01-Jan-17,19,35454.1,835,42.46,1.38,42.46
01-Jan-17,20,32056.9875,753.75,42.53,1.4,42.53
01-Jan-17,21,27353.417,653.45,41.86,1.42,41.86
01-Jan-17,22,33471.306,801.9,41.74,1.44,41.74
01-Jan-17,23,18283.3065,448.45,40.77,1.46,40.77
01-Jan-17,24,21348.6855,529.35,40.33,1.48,40.33
01-Jan-17,25,20465.6025,479.85,42.65,1.5,42.65
01-Jan-17,26,20259.4885,474.35,42.71,1.52,42.71
01-Jan-17,27,22281.142,505.7,44.06,1.54,44.06
01-Jan-17,28,23805,529,45,1.56,45
01-Jan-17,29,21168.142,489.55,43.24,1.58,43.24
01-Jan-17,30,21197.241,510.9,41.49,1.6,41.49
01-Jan-17,31,33993.365,775.75,43.82,1.63,43.82
01-Jan-17,32,26530.625,624.25,42.5,1.65,42.5
01-Jan-17,33,21353.359,488.3,43.73,1.67,43.73
01-Jan-17,34,19325.082,362.3,53.34,1.69,53.34
01-Jan-17,35,29547.507,434.65,67.98,1.71,67.98
01-Jan-17,36,24520.048,414.4,59.17,1.73,59.17
01-Jan-17,37,27792.288,547.2,50.79,1.75,50.79
01-Jan-17,38,37288.2825,834.75,44.67,1.77,44.67
01-Jan-17,39,41914.002,863.85,48.52,1.79,48.52
01-Jan-17,40,46320.12,974.75,47.52,1.81,47.52
01-Jan-17,41,47797.97,1015.25,47.08,1.83,47.08
01-Jan-17,42,42364.7775,879.85,48.15,1.85,48.15
01-Jan-17,43,40713.535,884.5,46.03,1.88,46.03
01-Jan-17,44,52400.5215,1194.45,43.87,1.9,43.87
01-Jan-17,45,45052.6245,989.95,45.51,1.92,45.51
01-Jan-17,46,43572.2825,969.35,44.95,1.94,44.95
01-Jan-17,47,21753.2245,506.95,42.91,1.96,42.91
01-Jan-17,48,31659.8125,771.25,41.05,1.98,41.05
02-Jan-17,1,22559.923,529.7,42.59,2,42.59
02-Jan-17,2,18437.86,414.8,44.45,2.02,44.45
02-Jan-17,3,23630.88,546,43.28,2.04,43.28
02-Jan-17,4,14621.292,341.3,42.84,2.06,42.84
02-Jan-17,5,17262.693,402.3,42.91,2.08,42.91
